Devices,Mix,Concurrency,WaveS,p50_sts,p95_sts,p99_sts,Max_sts,QueueMax,MongoOpsPerS,MongoP95Ms,Overlap,Result,Bottleneck,PingP50,QueueWaitP95,WorkerUtil,ClaimsWon,Conflicts,Threads,RssMb
250,all_down,40,21.537,,,,,22,26.2,7.846000000199638,0,PASS WITH LIMITED HEADROOM,limited_headroom,3000.0,12.2799999999188,87.88607594936708,250,0,8,
250,all_down,50,15.506,,,,,46,32.6,0.5461000000650529,0,PASS,none,3000.0,18.500700000004144,98.02666666666667,250,0,8,
250,all_down,60,15.506,,,,,46,32.6,0.5461000000650529,0,PASS,none,3000.0,18.500700000004144,98.02666666666667,250,0,,
250,all_down,64,15.506,,,,,46,32.6,0.5461000000650529,0,PASS,none,3000.0,18.500700000004144,98.02666666666667,250,0,,
250,intermittent,20,39.587,,,,,10,14.4,2.684799999997267,0,FAIL,wave_exceeds_interval,3000.0,7.574900000008711,94.58064516129032,250,0,8,
250,intermittent,30,27.611,,,,,21,20.8,8.44320000010157,0,PASS WITH LIMITED HEADROOM,limited_headroom,3000.0,50.228099999912956,91.38104205900817,250,0,8,
250,intermittent,40,21.409,,,,,2,26.6,5.5684999999812135,0,PASS WITH LIMITED HEADROOM,limited_headroom,3000.0,10.846800000081203,88.48062953995158,250,0,8,
250,intermittent,50,15.598,,,,,32,33.3,1.5066000000842905,0,PASS,none,3000.0,46.225699999922654,97.18518518518519,250,0,8,
250,intermittent,60,15.598,,,,,32,33.3,1.5066000000842905,0,PASS,none,3000.0,46.225699999922654,97.18518518518519,250,0,,
250,intermittent,64,15.598,,,,,32,33.3,1.5066000000842905,0,PASS,none,3000.0,46.225699999922654,97.18518518518519,250,0,,
250,slow,20,5.009,,,,,5,116.9,20.59370000006311,0,PASS,none,300.00000000000006,14.137099999970815,78.88888888888889,250,0,8,
250,slow,30,5.009,,,,,5,116.9,20.59370000006311,0,PASS,none,300.00000000000006,14.137099999970815,78.88888888888889,250,0,,
250,slow,40,5.009,,,,,5,116.9,20.59370000006311,0,PASS,none,300.00000000000006,14.137099999970815,78.88888888888889,250,0,,
250,slow,50,5.009,,,,,5,116.9,20.59370000006311,0,PASS,none,300.00000000000006,14.137099999970815,78.88888888888889,250,0,,
250,slow,60,5.009,,,,,5,116.9,20.59370000006311,0,PASS,none,300.00000000000006,14.137099999970815,78.88888888888889,250,0,,
